vehical_name,Registration Year ,Insurance ,Fuel Type ,Seats ,Kms Driven ,RTO ,Ownership ,Engine Displacement ,Transmission ,Year of Manufacture ,Engine ,Power ,Transmission ,Drive Type ,Mileage ,Fuel ,new_vehical_price,vehical_price,other_features
2014 Mahindra Bolero SLX,Apr 2014,-,Diesel,7 Seats,"1,96,472 Kms",Sri Ganganagar,Third Owner,2523 cc,Manual,2014,2523 cc,62.1 bhp,Manual,RWD,15.96 kmpl,,New Car Price ₹11.03 Lakh,₹5.15 Lakh Make Your Offer,[]
2017 Mahindra XUV500 R W10 FWD,Aug 2017,Comprehensive,Diesel,7 Seats,"1,10,000 Kms",Chandigarh,First Owner,2179 cc,Manual,2017,2179 cc,140 bhp,Manual,FWD,16 kmpl,,New Car Price ₹19.82 Lakh,₹6.90 Lakh Make Your Offer,"['Powered Front Seats', 'Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Cruise Control']"
2018 Maruti Vitara Brezza VDi AMT,Jul 2018,Third Party,Diesel,5 Seats,"77,000 Kms",Gurgaon,Second Owner,1248 cc,Automatic,2018,1248 cc,88.5 bhp,Automatic,FWD,24.3 kmpl,,New Car Price ₹9.99 Lakh,₹6.25 Lakh Make Your Offer,"['Air Purifier', 'Parking Sensors']"
2020 Maruti Swift Dzire ZXI 1.2,Dec 2020,Comprehensive,Petrol,5 Seats,"65,000 Kms",HR98,First Owner,1197 cc,Manual,2020,1197 cc,81.80 bhp,Manual,,21.21 kmpl,Petrol,New Car Price ₹8.47 Lakh,₹6.55 Lakh Make Your Offer,"['Engine Start/Stop Button', 'Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors']"
2014 Mahindra Bolero SLX 2WD BSIII,Aug 2014,-,Diesel,7 Seats,"1,75,847 Kms",Bikaner,First Owner,2523 cc,Manual,2014,2523 cc,62.1 bhp,Manual,FWD,15.96 kmpl,,New Car Price ₹9.95 Lakh,₹5.40 Lakh Make Your Offer,[]
2021 Hyundai Creta E Diesel BSVI,Oct 2021,Comprehensive,Diesel,5 Seats,"79,000 Kms",Hanumangarh,First Owner,1493 cc,Manual,2021,1493 cc,113.98 bhp,Manual,,,Diesel,New Car Price ₹14.28 Lakh,₹11 Lakh Make Your Offer,"['Rear AC Vents', 'Parking Sensors']"
2014 Skoda Octavia Active 2.0 TDI MT,Jul 2014,-,Diesel,5 Seats,"90,463 Kms",Jaipur,Second Owner,1968 cc,Manual,2014,1968 cc,141 bhp,Manual,,20.6 kmpl,Diesel,New Car Price ₹18.36 Lakh,₹4.80 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Air Purifier']"
2017 Skoda Rapid 1.5 TDI Ambition BSIV,Dec 2017,-,Diesel,5 Seats,"92,500 Kms",Kaithal,First Owner,1498 cc,Manual,2017,1498 cc,108.6 bhp,Manual,,21.13 kmpl,Diesel,New Car Price ₹11.28 Lakh,₹4.50 Lakh Make Your Offer,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors']"
2016 Maruti Ciaz VDi Plus SHVS,Dec 2016,Comprehensive,Diesel,5 Seats,"80,000 Kms",palwal,Second Owner,1248 cc,Manual,2016,1248 cc,88.5 bhp,Manual,,28.09 kmpl,Diesel,New Car Price ₹10.91 Lakh,₹4.50 Lakh Make Your Offer,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors']"
2011 Skoda Laura Elegance 1.9 TDI MT,Mar 2011,Third Party,Diesel,5 Seats,"90,000 Kms",Gurgaon,Third Owner,1896 cc,Manual,2011,1896 cc,105 bhp,Manual,,17 kmpl,Diesel,New Car Price ₹17.47 Lakh,₹3.25 Lakh Make Your Offer,"['Leather Seats', 'Automatic Climate Control', 'Air Purifier']"
2014 Volkswagen Jetta 2.0L TDI Comfortline,Feb 2015,Comprehensive,Diesel,5 Seats,"74,000 Kms",Gurgaon,First Owner,1968 cc,Manual,2014,1968 cc,138.03 bhp,Manual,,19.33 kmpl,Diesel,New Car Price ₹19.73 Lakh,₹4.95 Lakh Make Your Offer,"['Leather Seats', 'Height Adjustable Driver Seat', 'Automatic Climate Control', 'Air Purifier']"
2014 Honda Mobilio E i-DTEC,Aug 2014,Third Party,Diesel,7 Seats,"1,00,000 Kms",Fatehabad,Second Owner,1498 cc,Manual,2014,1498 cc,98.6 bhp,Manual,,24.2 kmpl,Diesel,New Car Price ₹10.16 Lakh,₹3.50 Lakh Make Your Offer,['Tumble Fold Seats']
2011 Maruti Swift Dzire VDi,Apr 2011,Comprehensive,Diesel,5 Seats,"70,808 Kms",New Delhi,Second Owner,1248 cc,Manual,2011,1248 cc,73.9 bhp,Manual,,19.3 kmpl,Diesel,New Car Price ₹7.79 Lakh,₹2.65 Lakh Make Your Offer,[]
2012 Maruti Swift VXI,Jun 2012,Third Party,Petrol,5 Seats,"84,476 Kms",New Delhi,First Owner,1197 cc,Manual,2012,1197 cc,85.8 bhp,Manual,,18.6 kmpl,Petrol,New Car Price ₹5.77 Lakh,₹2.70 Lakh Make Your Offer,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Digital Odometer']"
2015 Maruti Swift Dzire VDI,Mar 2015,Comprehensive,Diesel,5 Seats,"80,000 Kms",Rohtak,First Owner,1248 cc,Manual,2015,1248 cc,74 bhp,Manual,,26.59 kmpl,Diesel,New Car Price ₹8.05 Lakh,₹4 Lakh Make Your Offer,[]
2010 Maruti Wagon R LXI CNG,Oct 2010,-,CNG,5 Seats,"90,000 Kms",New Delhi,Second Owner,998 cc,Manual,2010,998 cc,58.2 bhp,Manual,,26.2 km/kg,CNG,New Car Price ₹4.95 Lakh,₹1.20 Lakh Make Your Offer,"['Central Locking', 'Air Conditioner']"
2016 Mahindra TUV 300 T8,Aug 2016,Comprehensive,Diesel,7 Seats,"70,000 Kms",Faridabad,First Owner,1493 cc,Manual,2016,1493 cc,100 bhp,Manual,RWD,18.49 kmpl,,New Car Price ₹11.48 Lakh,₹4.25 Lakh Make Your Offer,['Parking Sensors']
2019 Mahindra Scorpio S11 BSIV,Feb 2020,Comprehensive,Diesel,7 Seats,"47,000 Kms",Faridabad,First Owner,2179 cc,Manual,2019,2179 cc,140 bhp,Manual,RWD,16.36 kmpl,,New Car Price ₹18.53 Lakh,₹14 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Cruise Control']"
2012 Maruti Swift ZXI,Aug 2012,Comprehensive,Petrol,5 Seats,"70,000 Kms",New Delhi,First Owner,1197 cc,Manual,2012,1197 cc,85.8 bhp,Manual,,18.6 kmpl,Petrol,New Car Price ₹6.53 Lakh,₹3.15 Lakh Make Your Offer,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Digital Odometer', 'Steering Mounted Controls']"
2020 Hyundai Venue S Turbo,Feb 2020,Comprehensive,Petrol,5 Seats,"34,000 Kms",Gurgaon,First Owner,998 cc,Manual,2020,998 cc,118.35 bhp,Manual,FWD,18.27 kmpl,Petrol,New Car Price ₹10.15 Lakh,₹7.10 Lakh Make Your Offer,"['Rear AC Vents', 'Parking Sensors', 'Cooled Glovebox']"
2024 Mahindra Scorpio N Z8 Diesel AT,Nov 2024,Comprehensive,Diesel,7 Seats,"23,000 Kms",Jaipur,First Owner,2198 cc,Automatic,2024,,,Automatic,,,,New Car Price ₹25.43 Lakh,₹20.50 Lakh Make Your Offer,[]
2014 Ford Figo Diesel ZXI,Jan 2015,Third Party,Diesel,5 Seats,"1,00,000 Kms",Sirsa,Second Owner,1399 cc,Manual,2014,1399 cc,68.05 bhp,Manual,,20 kmpl,Diesel,New Car Price ₹6.60 Lakh,₹2 Lakh Make Your Offer,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Digital Odometer', 'Bluetooth Connectivity', 'Steering Mounted Controls']"
2016 Hyundai Creta 1.6 CRDi SX,May 2016,-,Diesel,5 Seats,"95,000 Kms",Sri Ganganagar,Second Owner,1582 cc,Manual,2016,1582 cc,126.2 bhp,Manual,FWD,19.67 kmpl,,New Car Price ₹15.20 Lakh,₹7.50 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control']"
2017 Maruti Ignis 1.3 AMT Zeta,Mar 2017,-,Diesel,5 Seats,"77,000 Kms",Moga,Second Owner,1248 cc,Automatic,2017,1248 cc,74 bhp,Automatic,,26.8 kmpl,Diesel,New Car Price ₹8.47 Lakh,₹4 Lakh Make Your Offer,['Engine Start/Stop Button']
2013 Skoda Octavia Corporate Edition Diesel,Nov 2013,Comprehensive,Diesel,5 Seats,"1,03,000 Kms",mandi dabwali,First Owner,1968 cc,Manual,2013,1968 cc,141 bhp,Manual,,21 kmpl,Diesel,New Car Price ₹19.45 Lakh,₹5.50 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Automatic Climate Control', 'Air Purifier']"
2015 Skoda Octavia Corporate Edition Diesel,Dec 2015,Third Party,Diesel,5 Seats,"80,000 Kms",Sonipat,First Owner,1968 cc,Manual,2015,1968 cc,141 bhp,Manual,,21 kmpl,Diesel,New Car Price ₹19.45 Lakh,₹6.60 Lakh Make Your Offer,"['Height Adjustable Driver Seat', 'Automatic Climate Control', 'Air Purifier']"
2015 Honda City i VTEC SV,May 2015,Comprehensive,Petrol,5 Seats,"69,000 Kms",Barasat,First Owner,1497 cc,Manual,2015,1497 cc,117.3 bhp,Manual,,17.4 kmpl,Petrol,New Car Price ₹10.05 Lakh,₹5.50 Lakh Make Your Offer,"['Automatic Climate Control', 'Rear AC Vents']"
2015 Toyota Etios GD,Aug 2017,-,Diesel,5 Seats,"1,25,000 Kms",Moga,Third Owner,1364 cc,Manual,2015,1364 cc,67.05 bhp,Manual,,23.59 kmpl,Diesel,New Car Price ₹9.06 Lakh,₹3.25 Lakh Make Your Offer,[]
2013 Chevrolet Sail 1.3 LS,Apr 2013,Comprehensive,Diesel,5 Seats,"1,04,000 Kms",Yamuna Nagar,First Owner,1248 cc,Manual,2013,1248 cc,74 bhp,Manual,,22.1 kmpl,Diesel,New Car Price ₹7.61 Lakh,₹1.70 Lakh Make Your Offer,[]
2011 Hyundai Verna 1.4 CRDi,Jan 2012,Comprehensive,Diesel,5 Seats,"92,000 Kms",barnala,Second Owner,1396 cc,Manual,2011,1396 cc,88.7 bhp,Manual,,24.8 kmpl,Diesel,New Car Price ₹10.25 Lakh,₹2.80 Lakh Make Your Offer,[]
2017 Hyundai Creta 1.4 CRDi S,Mar 2017,-,Diesel,5 Seats,"92,000 Kms",Rohtak,First Owner,1396 cc,Manual,2017,1396 cc,88.7 bhp,Manual,FWD,21.38 kmpl,,New Car Price ₹13.01 Lakh,₹6.75 Lakh Make Your Offer,['Rear AC Vents']
2012 Toyota Etios Diesel TRD Sportivo,Oct 2012,Comprehensive,Diesel,5 Seats,"1,22,000 Kms",Gurgaon,First Owner,1364 cc,Manual,2012,,,Manual,,,,New Car Price ₹8.50 Lakh,₹2.55 Lakh Make Your Offer,[]
2018 Volkswagen Ameo 1.0 MPI Comfortline,Nov 2018,Comprehensive,Petrol,5 Seats,"76,000 Kms",Ellenabad,First Owner,999 cc,Manual,2018,999 cc,75 bhp,Manual,,19.44 kmpl,Petrol,New Car Price ₹7.49 Lakh,₹3.75 Lakh Make Your Offer,[]
2014 Toyota Etios Liva GD,May 2014,-,Diesel,5 Seats,"80,000 Kms",Sri Ganganagar,Third Owner,1364 cc,Manual,2014,1364 cc,67.04 bhp,Manual,,23.59 kmpl,Diesel,New Car Price ₹8.12 Lakh,₹3.25 Lakh Make Your Offer,[]
2021 Tata Altroz XZ Plus Dark Edition BSVI,Nov 2021,Comprehensive,Petrol,5 Seats,"68,000 Kms",Sri Ganganagar,First Owner,1199 cc,Manual,2021,1199 cc,86.83 bhp,Manual,,19.33 kmpl,Petrol,New Car Price ₹10.61 Lakh,₹6.50 Lakh Make Your Offer,"['Engine Start/Stop Button', 'Rear AC Vents', 'Automatic Climate Control', 'Android Auto/Apple CarPlay', 'Rear Camera']"
2023 Maruti Swift VXI,May 2023,Third Party,Petrol,5 Seats,"38,000 Kms",jagraon,First Owner,1197 cc,Manual,2023,1197 cc,88.50 bhp,Manual,,22.38 kmpl,Petrol,New Car Price ₹8.21 Lakh,₹6.75 Lakh Make Your Offer,"['Android Auto/Apple CarPlay', 'Advanced Internet Features']"
2024 Hyundai Exter SX Opt AMT,2024,-,Petrol,5 Seats,"20,000 Kms",Mansa,First Owner,1197 cc,Automatic,2024,1197 cc,81.8 bhp,Automatic,FWD,19.2 kmpl,Petrol,New Car Price ₹11.24 Lakh,₹9.10 Lakh ,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors', 'Cooled Glovebox', 'Cruise Control', 'Wireless Charger', 'Sunroof', 'Advanced Internet Features']"
2017 Datsun RediGO 1.0 T Option,2017,-,Petrol,5 Seats,"40,000 Kms",Bhiwani,Second Owner,999 cc,Manual,2017,999 cc,67 bhp,Manual,,22.5 kmpl,Petrol,New Car Price ₹4.31 Lakh,₹1.59 Lakh ,"['Keyless Entry', 'Central Locking', 'Air Conditioner', 'Bluetooth Connectivity']"
2024 Maruti Grand Vitara Zeta Plus Hybrid CVT,2024,-,Petrol,5 Seats,"30,000 Kms",Sangrur,First Owner,1490 cc,Automatic,2024,1490 cc,91.18 bhp,Automatic,FWD,27.97 kmpl,,New Car Price ₹21.57 Lakh,₹18 Lakh ,"['Ventilated Seats', 'Height Adjustable Driver Seat', 'Automatic Climate Control', 'Cruise Control', 'Sunroof']"
2014 Honda Amaze Anniversary Edition,Sept 2014,Third Party,Diesel,5 Seats,"1,15,000 Kms",Gurgaon,First Owner,1498 cc,Manual,2014,1498 cc,98.6 bhp,Manual,,25.8 kmpl,Diesel,New Car Price ₹9.46 Lakh,₹2.70 Lakh Make Your Offer,[]
2024 Toyota Rumion S AT,2024,-,Petrol,7 Seats,"20,000 Kms",RJ56,First Owner,1462 cc,Automatic,2024,1462 cc,101.64 bhp,Automatic,,,Petrol,New Car Price ₹14.24 Lakh,₹13 Lakh ,"['Parking Sensors', 'Rear AC Vents', 'Rear Seat Armrest', 'Tumble Fold Seats']"
2023 Tata Punch Pure,2023,-,Petrol,5 Seats,"20,000 Kms",zira,First Owner,1199 cc,Manual,2023,1199 cc,87 bhp,Manual,FWD,20.09 kmpl,,New Car Price ₹7.14 Lakh,₹5.60 Lakh ,['Parking Sensors']
2023 Hyundai Venue SX,2023,-,Petrol,5 Seats,"20,000 Kms",Sri Ganganagar,First Owner,1197 cc,Manual,2023,1197 cc,82 bhp,Manual,FWD,20.36 kmpl,Petrol,New Car Price ₹12.97 Lakh,₹10.25 Lakh ,"['Automatic Climate Control', 'Rear AC Vents', 'Parking Sensors', 'Cooled Glovebox', 'Wireless Charger', 'Sunroof', 'Advanced Internet Features']"
2023 Honda Amaze 2nd Gen VX Elite,2023,-,Petrol,5 Seats,"30,000 Kms",RJ98,Second Owner,1199 cc,Manual,2023,1199 cc,88.50 bhp,Manual,,18.6 kmpl,Petrol,New Car Price ₹10.54 Lakh,₹6.70 Lakh ,"['Engine Start/Stop Button', 'Automatic Climate Control', 'Parking Sensors', 'Android Auto/Apple CarPlay', 'Wireless Charging', 'Fog Lights']"
2010 Chevrolet Beat LS,2010,-,Petrol,5 Seats,"1,00,000 Kms",Porbandar,Third Owner,1199 cc,Manual,2010,1199 cc,79.4 bhp,Manual,,18.6 kmpl,Petrol,New Car Price ₹4.95 Lakh,₹85 Thousand ,"['Central Locking', 'Air Conditioner']"
2019 Hyundai Grand i10 1.2 CRDi Sportz,2019,-,Diesel,5 Seats,"43,000 Kms",Rawatbhata,First Owner,1186 cc,Manual,2019,1186 cc,73.97 bhp,Manual,,24 kmpl,Diesel,New Car Price ₹8.47 Lakh,₹5 Lakh ,"['Rear AC Vents', 'Rear Camera']"
2019 Hyundai i20 Asta Option Diesel,2019,-,Diesel,5 Seats,"80,000 Kms",Rawatbhata,First Owner,1396 cc,Manual,2019,1396 cc,88.76 bhp,Manual,,22.54 kmpl,Diesel,New Car Price ₹11.17 Lakh,₹7.49 Lakh ,"['Engine Start/Stop Button', 'Rear AC Vents', 'Automatic Climate Control', 'Lane Change Indicator', 'Rear Camera']"
2017 Mahindra XUV500 R W10 FWD,Aug 2017,Comprehensive,Diesel,7 Seats,"1,04,000 Kms",Bharuch,Second Owner,2179 cc,Manual,2017,2179 cc,140 bhp,Manual,FWD,16 kmpl,,New Car Price ₹19.47 Lakh,₹7 Lakh ,"['Powered Front Seats', 'Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Cruise Control']"
2011 Maruti Swift 1.3 VXi,Aug 2011,Comprehensive,Petrol,5 Seats,"49,700 Kms",New Delhi,First Owner,1298 cc,Manual,2011,1298 cc,,Manual,,16.1 kmpl,Petrol,New Car Price ₹4.92 Lakh,₹2.55 Lakh Make Your Offer,"['Central Locking', 'Air Conditioner', 'Digital Odometer']"
2022 Hyundai Creta EX BSVI,Nov 2022,Comprehensive,Petrol,5 Seats,"64,000 Kms",Narmada,First Owner,1497 cc,Manual,2022,1497 cc,113.18 bhp,Manual,,,Petrol,New Car Price ₹13.19 Lakh,₹9.99 Lakh Make Your Offer,"['Rear AC Vents', 'Parking Sensors']"
2017 Ford Ecosport 1.5 Diesel Titanium BSIV,Aug 2017,Third Party,Diesel,5 Seats,"85,000 Kms",Gandhidham,Second Owner,1498 cc,Manual,2017,1498 cc,98.96 bhp,Manual,FWD,23 kmpl,,New Car Price ₹11.08 Lakh,₹4.40 Lakh Make Your Offer,"['Automatic Climate Control', 'Parking Sensors']"
2021 Maruti Vitara Brezza LXI,Oct 2021,Third Party,Petrol,5 Seats,"78,000 Kms",Banaskantha,First Owner,1462 cc,Manual,2021,1462 cc,103.26 bhp,Manual,FWD,17.03 kmpl,Petrol,New Car Price ₹8.72 Lakh,₹6.99 Lakh Make Your Offer,['Parking Sensors']
2011 Volkswagen Vento Diesel Trendline,2011,-,Diesel,5 Seats,"1,60,000 Kms",jalalabad,Third Owner,1598 cc,Manual,2011,,,Manual,,,,New Car Price ₹10.05 Lakh,₹1.40 Lakh ,[]
2024 Toyota Glanza V,2024,-,Petrol,5 Seats,"10,000 Kms",dasuya,First Owner,1197 cc,Manual,2024,,,Manual,,,,New Car Price ₹11.28 Lakh,₹9.40 Lakh ,[]
2015 Honda City i DTEC V,2015,-,Diesel,5 Seats,"80,000 Kms",Abohar,Second Owner,1498 cc,Manual,2015,,,Manual,,,,New Car Price ₹12.29 Lakh,₹4.75 Lakh ,[]
2018 Hyundai Creta 1.4 CRDi S,Jan 2019,Comprehensive,Diesel,5 Seats,"81,000 Kms",Sirsa,Second Owner,1396 cc,Manual,2018,,,Manual,,,,New Car Price ₹13.01 Lakh,₹8.10 Lakh Make Your Offer,[]
2023 Hyundai i20 Magna,May 2023,Comprehensive,Petrol,5 Seats,"9,400 Kms",HR98,First Owner,1197 cc,Manual,2023,,,Manual,,,,New Car Price ₹8.45 Lakh,₹6.85 Lakh Make Your Offer,[]
2013 Toyota Etios GD,2013,-,Diesel,5 Seats,"1,50,000 Kms",Sri Ganganagar,Fourth Owner,1364 cc,Manual,2013,,,Manual,,,,New Car Price ₹8.05 Lakh,₹2.60 Lakh ,[]
2014 Mahindra Bolero SLX 2WD BSIII,Aug 2014,-,Diesel,7 Seats,"1,75,847 Kms",Bikaner,First Owner,2523 cc,Manual,2014,,,Manual,,,,New Car Price ₹9.95 Lakh,₹5.40 Lakh Make Your Offer,[]
2014 Mahindra Bolero SLX,Apr 2014,-,Diesel,7 Seats,"1,96,472 Kms",Sri Ganganagar,Third Owner,2523 cc,Manual,2014,,,Manual,,,,New Car Price ₹11.03 Lakh,₹5.15 Lakh Make Your Offer,[]
2016 Honda Amaze VX i-DTEC,2016,-,Diesel,5 Seats,"90,000 Kms",Faridabad,First Owner,1498 cc,Manual,2016,,,Manual,,,,New Car Price ₹8.99 Lakh,₹2.95 Lakh ,[]
2020 Maruti Vitara Brezza ZXI Plus AT Dual Tone,2020,-,Petrol,5 Seats,"60,000 Kms",Abohar,Second Owner,1462 cc,Automatic,2020,,,Automatic,,,,New Car Price ₹13.23 Lakh,₹7.80 Lakh ,[]
2018 Maruti Vitara Brezza VDi AMT,Jul 2018,Third Party,Diesel,5 Seats,"77,000 Kms",Gurgaon,Second Owner,1248 cc,Automatic,2018,,,Automatic,,,,New Car Price ₹9.99 Lakh,₹6.25 Lakh Make Your Offer,[]
2020 Maruti Swift Dzire ZXI 1.2,Dec 2020,Comprehensive,Petrol,5 Seats,"65,000 Kms",HR98,First Owner,1197 cc,Manual,2020,,,Manual,,,,New Car Price ₹8.47 Lakh,₹6.55 Lakh Make Your Offer,[]
2014 Hyundai Verna 1.6 CRDI,2014,-,Diesel,5 Seats,"1,20,000 Kms",Meerut,First Owner,1582 cc,Manual,2014,,,Manual,,,,New Car Price ₹11.87 Lakh,₹4 Lakh ,[]
2017 Hyundai Creta 1.4 E Plus,Jul 2017,Comprehensive,Diesel,5 Seats,"75,000 Kms",Gurgaon,First Owner,1396 cc,Manual,2017,,,Manual,,,,New Car Price ₹11.86 Lakh,₹6.25 Lakh Make Your Offer,[]
2021 Tata Harrier XZ Plus BSVI,Jul 2021,-,Diesel,5 Seats,"50,000 Kms",Jaipur,First Owner,1956 cc,Manual,2021,,,Manual,,,,New Car Price ₹25.54 Lakh,₹15 Lakh Make Your Offer,[]
2019 Tata Nexon 1.5 Revotorq XM,Jul 2019,Comprehensive,Diesel,5 Seats,"71,000 Kms",Gurgaon,Second Owner,1497 cc,Manual,2019,,,Manual,,,,New Car Price ₹10.39 Lakh,₹5.10 Lakh Make Your Offer,[]
2017 Mahindra XUV500 R W10 FWD,Aug 2017,Comprehensive,Diesel,7 Seats,"1,10,000 Kms",Chandigarh,First Owner,2179 cc,Manual,2017,,,Manual,,,,New Car Price ₹19.82 Lakh,₹6.90 Lakh Make Your Offer,[]
2012 Maruti Swift VXI,Jun 2012,Third Party,Petrol,5 Seats,"84,476 Kms",New Delhi,First Owner,1197 cc,Manual,2012,,,Manual,,,,New Car Price ₹5.77 Lakh,₹2.70 Lakh Make Your Offer,[]
2025 Mahindra Thar ROXX AX7L 4WD Diesel AT,2025,-,Diesel,5 Seats,"10,000 Kms",charkhi dadri,First Owner,2184 cc,Automatic,2025,,,Automatic,,,,New Car Price ₹27.13 Lakh,₹27.10 Lakh ,[]
2012 Hyundai Santro Xing GL Plus LPG,2012,-,LPG,5 Seats,"1,47,000 Kms",malout,Third Owner,1086 cc,Manual,2012,1086 cc,62.1 bhp,Manual,,13.45 km/kg,LPG,New Car Price ₹4.71 Lakh,₹1 Lakh ,"['Keyless Entry', 'Central Locking', 'Air Conditioner']"
2021 Hyundai Creta E Diesel BSVI,Oct 2021,Comprehensive,Diesel,5 Seats,"79,000 Kms",Hanumangarh,First Owner,1493 cc,Manual,2021,,,Manual,,,,New Car Price ₹14.28 Lakh,₹11 Lakh Make Your Offer,[]
2015 Skoda Superb Elegance 2.0 TDI CR AT,Jul 2015,Comprehensive,Diesel,5 Seats,"96,000 Kms",Kolkata,First Owner,1968 cc,Automatic,2015,,,Automatic,,,,New Car Price ₹31.08 Lakh,₹6.75 Lakh Make Your Offer,[]
2014 Honda Mobilio E i-DTEC,Aug 2014,Third Party,Diesel,7 Seats,"1,00,000 Kms",Fatehabad,Second Owner,1498 cc,Manual,2014,,,Manual,,,,New Car Price ₹10.16 Lakh,₹3.50 Lakh Make Your Offer,[]
2014 Skoda Octavia Active 2.0 TDI MT,Jul 2014,-,Diesel,5 Seats,"90,463 Kms",Jaipur,Second Owner,1968 cc,Manual,2014,,,Manual,,,,New Car Price ₹18.36 Lakh,₹4.80 Lakh Make Your Offer,[]
2016 Maruti Ciaz VDi Plus SHVS,Dec 2016,Comprehensive,Diesel,5 Seats,"80,000 Kms",palwal,Second Owner,1248 cc,Manual,2016,,,Manual,,,,New Car Price ₹10.91 Lakh,₹4.50 Lakh Make Your Offer,[]
2023 Mahindra Scorpio N Z8L Diesel,Feb 2023,Comprehensive,Diesel,7 Seats,"73,000 Kms",Alwar,First Owner,2198 cc,Manual,2023,,,Manual,,,,New Car Price ₹27.27 Lakh,₹21 Lakh Make Your Offer,[]
2017 Skoda Rapid 1.5 TDI Ambition BSIV,Dec 2017,-,Diesel,5 Seats,"92,500 Kms",Kaithal,First Owner,1498 cc,Manual,2017,,,Manual,,,,New Car Price ₹11.28 Lakh,₹4.50 Lakh Make Your Offer,[]
