Brand_ID,Model_ID,Segment_ID,Vehicle_Name,Year_of_Manufacture,Vehicle_Age,Insurance,Fuel_Type,Seats_Capacity,Kms_Driven,RTO_Location,Ownership,Engine_Displacement,Transmission,Power_BHP,Drive_Type,Mileage_By_Fuel_Type,New_Vehicle_Price_Lakh,Vehicle_Price_Lakh,Depreciation_Percentage,Other_Features,Value_For_Money_Score
6,26,2,Ignis,2017,8,Expired,Diesel,5,77000,Moga,Second Owner,1248.0,Automatic,74.0,Unknown,26.8,8.47,4.0,52.77,Engine Start/Stop Button,6.6
7,27,1,Octavia,2013,12,Comprehensive,Diesel,5,103000,mandi dabwali,First Owner,1968.0,Manual,141.0,Unknown,21.0,19.45,5.5,71.72,Height Adjustable Driver Seat | Automatic Climate Control | Air Purifier,5.0
7,27,1,Octavia,2015,10,Third Party,Diesel,5,80000,Sonipat,First Owner,1968.0,Manual,141.0,Unknown,21.0,19.45,6.6,66.07,Height Adjustable Driver Seat | Automatic Climate Control | Air Purifier,6.0
8,28,1,City,2015,10,Comprehensive,Petrol,5,69000,Barasat,First Owner,1497.0,Manual,117.3,Unknown,17.4,10.05,5.5,45.27,Automatic Climate Control | Rear AC Vents,6.8
1,1705,1,Etios,2015,10,Expired,Diesel,5,125000,Moga,Third Owner,1364.0,Manual,67.05,Unknown,23.59,9.06,3.25,64.13,No_Features,5.2
10,29,1,Sail,2013,12,Comprehensive,Diesel,5,104000,Yamuna Nagar,First Owner,1248.0,Manual,74.0,Unknown,22.1,7.61,1.7,77.66,No_Features,5.0
2,30,1,Verna,2011,14,Comprehensive,Diesel,5,92000,barnala,Second Owner,1396.0,Manual,88.7,Unknown,24.8,10.25,2.8,72.68,No_Features,5.2
2,7,3,Creta,2017,8,Expired,Diesel,5,92000,Rohtak,First Owner,1396.0,Manual,88.7,FWD,21.38,13.01,6.75,48.12,Rear AC Vents,6.8
1,31,1,Etios,2012,13,Comprehensive,Diesel,5,122000,Gurgaon,First Owner,1364.0,Manual,,Unknown,,8.5,2.55,70.0,No_Features,5.0
3,32,1,Ameo,2018,7,Comprehensive,Petrol,5,76000,Ellenabad,First Owner,999.0,Manual,75.0,Unknown,19.44,7.49,3.75,49.93,No_Features,6.8
1,33,1,Etios,2014,11,Expired,Diesel,5,80000,Sri Ganganagar,Third Owner,1364.0,Manual,67.04,Unknown,23.59,8.12,3.25,59.98,No_Features,5.8
4,34,2,Altroz,2021,4,Comprehensive,Petrol,5,68000,Sri Ganganagar,First Owner,1199.0,Manual,86.83,Unknown,19.33,10.61,6.5,38.74,Engine Start/Stop Button | Rear AC Vents | Automatic Climate Control | Android Auto/Apple CarPlay | Rear Camera,8.2
6,1705,2,Swift,2023,2,Third Party,Petrol,5,38000,jagraon,First Owner,1197.0,Manual,88.5,Unknown,22.38,8.21,6.75,17.78,Android Auto/Apple CarPlay | Advanced Internet Features,10.0
2,35,3,Exter,2024,1,Expired,Petrol,5,20000,Mansa,First Owner,1197.0,Automatic,81.8,FWD,19.2,11.24,9.1,19.04,Automatic Climate Control | Rear AC Vents | Parking Sensors | Cooled Glovebox | Cruise Control | Wireless Charger | Sunroof | Advanced Internet Features,10.0
11,36,2,RediGO,2017,8,Expired,Petrol,5,40000,Bhiwani,Second Owner,999.0,Manual,67.0,Unknown,22.5,4.31,1.59,63.11,Keyless Entry | Central Locking | Air Conditioner | Bluetooth Connectivity,6.2
6,37,2,Grand,2024,1,Expired,Petrol,5,30000,Sangrur,First Owner,1490.0,Automatic,91.18,FWD,27.97,21.57,18.0,16.55,Ventilated Seats | Height Adjustable Driver Seat | Automatic Climate Control | Cruise Control | Sunroof,10.0
8,38,1,Amaze,2014,11,Third Party,Diesel,5,115000,Gurgaon,First Owner,1498.0,Manual,98.6,Unknown,25.8,9.46,2.7,71.46,No_Features,5.0
1,23,4,Rumion,2024,1,Expired,Petrol,7,20000,RJ56,First Owner,1462.0,Automatic,101.64,Unknown,,14.24,13.0,8.71,Parking Sensors | Rear AC Vents | Rear Seat Armrest | Tumble Fold Seats,10.0
4,1705,3,Punch,2023,2,Expired,Petrol,5,20000,zira,First Owner,1199.0,Manual,87.0,FWD,20.09,7.14,5.6,21.57,Parking Sensors,9.2
2,1705,3,Venue,2023,2,Expired,Petrol,5,20000,Sri Ganganagar,First Owner,1197.0,Manual,82.0,FWD,20.36,12.97,10.25,20.97,Automatic Climate Control | Rear AC Vents | Parking Sensors | Cooled Glovebox | Wireless Charger | Sunroof | Advanced Internet Features,9.2
8,39,1,Amaze,2023,2,Expired,Petrol,5,30000,RJ98,Second Owner,1199.0,Manual,88.5,Unknown,18.6,10.54,6.7,36.43,Engine Start/Stop Button | Automatic Climate Control | Parking Sensors | Android Auto/Apple CarPlay | Wireless Charging | Fog Lights,9.0
10,1705,2,Beat,2010,15,Expired,Petrol,5,100000,Porbandar,Third Owner,1199.0,Manual,79.4,Unknown,18.6,4.95,0.85,82.83,Central Locking | Air Conditioner,5.0
2,40,2,Grand,2019,6,Expired,Diesel,5,43000,Rawatbhata,First Owner,1186.0,Manual,73.97,Unknown,24.0,8.47,5.0,40.97,Rear AC Vents | Rear Camera,7.8
2,41,2,i20,2019,6,Expired,Diesel,5,80000,Rawatbhata,First Owner,1396.0,Manual,88.76,Unknown,22.54,11.17,7.49,32.95,Engine Start/Stop Button | Rear AC Vents | Automatic Climate Control | Lane Change Indicator | Rear Camera,8.2
5,8,3,XUV500,2017,8,Comprehensive,Diesel,7,104000,Bharuch,Second Owner,2179.0,Manual,140.0,FWD,16.0,19.47,7.0,64.05,Powered Front Seats | Height Adjustable Driver Seat | Air Purifier | Automatic Climate Control | Cruise Control,5.4
6,29,2,Swift,2011,14,Comprehensive,Petrol,5,49700,New Delhi,First Owner,1298.0,Manual,,Unknown,16.1,4.92,2.55,48.17,Central Locking | Air Conditioner | Digital Odometer,6.6
2,42,3,Creta,2022,3,Comprehensive,Petrol,5,64000,Narmada,First Owner,1497.0,Manual,113.18,Unknown,,13.19,9.99,24.26,Rear AC Vents | Parking Sensors,8.8
9,43,3,Ecosport,2017,8,Third Party,Diesel,5,85000,Gandhidham,Second Owner,1498.0,Manual,98.96,FWD,23.0,11.08,4.4,60.29,Automatic Climate Control | Parking Sensors,5.8
6,44,3,Vitara,2021,4,Third Party,Petrol,5,78000,Banaskantha,First Owner,1462.0,Manual,103.26,FWD,17.03,8.72,6.99,19.84,Parking Sensors,9.0
3,2,1,Vento,2011,14,Expired,Diesel,5,160000,jalalabad,Third Owner,1598.0,Manual,,Unknown,,10.05,1.4,86.07,No_Features,4.2
8,45,1,City,2015,10,Expired,Diesel,5,80000,Abohar,Second Owner,1498.0,Manual,,Unknown,,12.29,4.75,61.35,No_Features,5.8
2,7,3,Creta,2018,7,Comprehensive,Diesel,5,81000,Sirsa,Second Owner,1396.0,Manual,,Unknown,,13.01,8.1,37.74,No_Features,7.4
5,11,3,Bolero,2014,11,Expired,Diesel,7,175847,Bikaner,First Owner,2523.0,Manual,,Unknown,,9.95,5.4,45.73,No_Features,5.4
5,1705,3,Bolero,2014,11,Expired,Diesel,7,196472,Sri Ganganagar,Third Owner,2523.0,Manual,,Unknown,,11.03,5.15,53.31,No_Features,5.0
8,46,1,Amaze,2016,9,Expired,Diesel,5,90000,Faridabad,First Owner,1498.0,Manual,,Unknown,,8.99,2.95,67.19,No_Features,6.0
6,47,3,Vitara,2020,5,Expired,Petrol,5,60000,Abohar,Second Owner,1462.0,Automatic,,Unknown,,13.23,7.8,41.04,No_Features,7.2
6,9,3,Vitara,2018,7,Third Party,Diesel,5,77000,Gurgaon,Second Owner,1248.0,Automatic,,Unknown,,9.99,6.25,37.44,No_Features,7.4
6,10,2,Swift,2020,5,Comprehensive,Petrol,5,65000,HR98,First Owner,1197.0,Manual,,Unknown,,8.47,6.55,22.67,No_Features,8.2
2,3,1,Verna,2014,11,Expired,Diesel,5,120000,Meerut,First Owner,1582.0,Manual,,Unknown,,11.87,4.0,66.3,No_Features,5.0
4,5,3,Harrier,2021,4,Expired,Diesel,5,50000,Jaipur,First Owner,1956.0,Manual,,Unknown,,25.54,15.0,41.27,No_Features,7.8
4,6,3,Nexon,2019,6,Comprehensive,Diesel,5,71000,Gurgaon,Second Owner,1497.0,Manual,,Unknown,,10.39,5.1,50.91,No_Features,7.2
5,8,3,XUV500,2017,8,Comprehensive,Diesel,7,110000,Chandigarh,First Owner,2179.0,Manual,,Unknown,,19.82,6.9,65.19,No_Features,5.6
6,1705,2,Swift,2012,13,Third Party,Petrol,5,84476,New Delhi,First Owner,1197.0,Manual,,Unknown,,5.77,2.7,53.21,No_Features,6.2
5,48,3,Thar,2025,0,Expired,Diesel,5,10000,charkhi dadri,First Owner,2184.0,Automatic,,Unknown,,27.13,27.1,0.11,No_Features,10.0
2,12,3,Creta,2021,4,Comprehensive,Diesel,5,79000,Hanumangarh,First Owner,1493.0,Manual,,Unknown,,14.28,11.0,22.97,No_Features,8.2
7,49,5,Superb,2015,10,Comprehensive,Diesel,5,96000,Kolkata,First Owner,1968.0,Automatic,,Unknown,,31.08,6.75,78.28,No_Features,6.0
8,18,4,Mobilio,2014,11,Third Party,Diesel,7,100000,Fatehabad,Second Owner,1498.0,Manual,,Unknown,,10.16,3.5,65.55,No_Features,5.2
7,13,1,Octavia,2014,11,Expired,Diesel,5,90463,Jaipur,Second Owner,1968.0,Manual,,Unknown,,18.36,4.8,73.86,No_Features,5.2
6,15,1,Ciaz,2016,9,Comprehensive,Diesel,5,80000,palwal,Second Owner,1248.0,Manual,,Unknown,,10.91,4.5,58.75,No_Features,6.6
5,50,3,Scorpio,2023,2,Comprehensive,Diesel,7,73000,Alwar,First Owner,2198.0,Manual,,Unknown,,27.27,21.0,22.99,No_Features,8.8
7,14,1,Rapid,2017,8,Expired,Diesel,5,92500,Kaithal,First Owner,1498.0,Manual,,Unknown,,11.28,4.5,60.11,No_Features,6.0
2,23,3,Venue,2020,5,Comprehensive,Petrol,5,34000,Gurgaon,First Owner,998.0,Manual,,Unknown,,10.15,7.1,30.05,No_Features,8.6
6,19,2,Swift,2011,14,Comprehensive,Diesel,5,70808,New Delhi,Second Owner,1248.0,Manual,,Unknown,,7.79,2.65,65.98,No_Features,5.2
3,17,1,Jetta,2014,11,Comprehensive,Diesel,5,74000,Gurgaon,First Owner,1968.0,Manual,,Unknown,,19.73,4.95,74.91,No_Features,5.4
7,16,1,Laura,2011,14,Third Party,Diesel,5,90000,Gurgaon,Third Owner,1896.0,Manual,,Unknown,,17.47,3.25,81.4,No_Features,5.0
6,20,2,Wagon,2010,15,Expired,CNG,5,90000,New Delhi,Second Owner,998.0,Manual,,Unknown,,4.95,1.2,75.76,No_Features,5.2
5,21,3,TUV,2016,9,Comprehensive,Diesel,7,70000,Faridabad,First Owner,1493.0,Manual,,Unknown,,11.48,4.25,62.98,No_Features,6.0
6,19,2,Swift,2015,10,Comprehensive,Diesel,5,80000,Rohtak,First Owner,1248.0,Manual,,Unknown,,8.05,4.0,50.31,No_Features,6.8
6,1705,2,Swift,2012,13,Comprehensive,Petrol,5,70000,New Delhi,First Owner,1197.0,Manual,,Unknown,,6.53,3.15,51.76,No_Features,6.2
5,22,3,Scorpio,2019,6,Comprehensive,Diesel,7,47000,Faridabad,First Owner,2179.0,Manual,,Unknown,,18.53,14.0,24.45,No_Features,8.6
9,51,1,Fiesta,2010,15,Expired,Diesel,5,100000,New Delhi,First Owner,1399.0,Manual,,Unknown,,9.03,1.35,85.05,No_Features,5.4
6,19,2,Swift,2009,16,Third Party,Diesel,5,250000,Gurgaon,Second Owner,1248.0,Manual,,Unknown,,7.28,1.65,77.34,No_Features,4.4
2,1705,2,i10,2011,14,Expired,Petrol,5,60000,Jaipur,First Owner,1086.0,Manual,,Unknown,,5.27,1.8,65.84,No_Features,5.4
6,52,5,S,2015,10,Comprehensive,Diesel,5,80105,Panipat,Second Owner,1248.0,Manual,,Unknown,,10.11,3.25,67.85,No_Features,5.8
8,28,1,City,2015,10,Comprehensive,Petrol,5,69000,Barasat,First Owner,1497.0,Manual,,Unknown,,10.05,5.5,45.27,No_Features,6.8
7,27,1,Octavia,2013,12,Comprehensive,Diesel,5,103000,mandi dabwali,First Owner,1968.0,Manual,,Unknown,,19.45,5.5,71.72,No_Features,5.0
9,53,3,Endeavour,2018,7,Comprehensive,Diesel,7,126000,Chandigarh,First Owner,2198.0,Automatic,,Unknown,,35.95,22.0,38.8,No_Features,7.2
2,3,1,Verna,2014,11,Comprehensive,Diesel,5,108489,Kaithal,Second Owner,1582.0,Manual,126.3,Unknown,22.32,11.72,4.5,61.6,Automatic Climate Control | Parking Sensors,4.8
7,54,2,Fabia,2011,14,Expired,Petrol,5,90000,Gurgaon,First Owner,1198.0,Manual,73.9,Unknown,16.25,5.0,1.9,62.0,Central Locking | Air Conditioner,5.4
5,24,3,Scorpio,2024,1,Comprehensive,Diesel,7,23000,Jaipur,First Owner,2198.0,Automatic,172.45,RWD,15.42,25.43,20.5,19.39,Height Adjustable Driver Seat | Automatic Climate Control | Sunroof,10.0
1,55,4,Innova,2009,16,Comprehensive,Diesel,8,109695,Gurgaon,Second Owner,2494.0,Manual,,Unknown,12.8,10.48,3.3,68.51,Rear Seat Armrest,4.8
9,56,3,Ecosport,2013,12,Third Party,Diesel,5,130000,Jaipur,Third Owner,1498.0,Manual,89.84,FWD,22.7,9.61,2.5,73.99,No_Features,4.6
2,57,3,Alcazar,2021,4,Comprehensive,Diesel,6,91000,Alwar,First Owner,1493.0,Automatic,113.98,Unknown,18.1,24.8,15.5,37.5,Powered Front Seats | Ventilated Seats | Height Adjustable Driver Seat | Air Purifier | Automatic Climate Control | Drive Modes | Cruise Control | 360 Degree Camera,8.2
1,58,1,Etios,2019,6,Comprehensive,Petrol,5,91600,Faridabad,Second Owner,1197.0,Manual,78.9,Unknown,17.71,7.17,4.6,35.84,No_Features,8.0
5,59,3,Thar,2022,3,Comprehensive,Diesel,4,52000,Yamuna Nagar,First Owner,2184.0,Manual,130.0,4WD,15.2,15.09,13.0,13.85,Height Adjustable Driver Seat | Cruise Control,9.6
6,1705,1,Ciaz,2015,10,Comprehensive,Diesel,5,92105,charkhi dadri,Second Owner,1248.0,Manual,88.5,Unknown,26.21,9.47,3.15,66.74,Rear AC Vents,5.8
6,60,2,Swift,2020,5,Comprehensive,Petrol,5,154678,bharatpur,Second Owner,1197.0,Manual,81.8,Unknown,21.21,7.87,6.2,21.22,Rear AC Vents | Parking Sensors,7.2
2,35,3,Exter,2024,1,Expired,Petrol,5,20000,Mansa,First Owner,1197.0,Automatic,,Unknown,,11.24,9.1,19.04,No_Features,10.0
6,19,2,Swift,2017,8,Comprehensive,Diesel,5,62000,bhiwadi,First Owner,1248.0,Manual,74.0,Unknown,26.59,8.63,5.75,33.37,No_Features,7.6
1,31,1,Etios,2012,13,Comprehensive,Diesel,5,122000,Gurgaon,First Owner,1364.0,Manual,67.1,Unknown,23.59,8.5,2.55,70.0,No_Features,5.0
6,1705,2,800,2007,18,Expired,Petrol,4,55000,Sri Muktsar Sahib,First Owner,796.0,Manual,37.0,Unknown,16.1,2.65,0.85,67.92,Air Conditioner,5.4
10,2,2,Beat,2015,10,Expired,Diesel,5,80000,New Delhi,First Owner,936.0,Manual,56.3,Unknown,25.44,6.71,1.4,79.14,Central Locking | Air Conditioner | Digital Odometer,6.0
1,61,3,Fortuner,2010,15,Expired,Diesel,7,135000,Chandigarh,Third Owner,2982.0,Manual,,4WD,11.5,24.8,5.5,77.82,Air Purifier | Automatic Climate Control,4.6
6,62,2,Grand,2024,1,Expired,Petrol,5,20000,Sri Ganganagar,First Owner,1462.0,Manual,101.64,FWD,21.11,13.8,11.25,18.48,Automatic Climate Control | Rear AC Vents | Parking Sensors | Advanced Internet Features,10.0
5,63,3,Scorpio,2016,9,Third Party,Diesel,7,104000,charkhi dadri,Second Owner,2179.0,Manual,120.0,RWD,15.4,15.72,9.3,40.84,Height Adjustable Driver Seat | Air Purifier | Automatic Climate Control | Cruise Control,6.2
1,64,3,Urban,2021,4,Expired,Petrol,5,50000,Sirsa,First Owner,1462.0,Manual,103.26,Unknown,17.03,11.28,8.0,29.08,Automatic Climate Control | Parking Sensors | Cooled Glovebox | Cruise Control,8.6
12,65,3,Sonet,2024,1,Expired,Petrol,5,20000,Banaskantha,First Owner,1197.0,Manual,81.8,FWD,18.4,11.76,9.5,19.22,Automatic Climate Control | Rear AC Vents | Parking Sensors | Advanced Internet Features,10.0
9,66,3,Ecosport,2021,4,Expired,Petrol,5,50000,Pali,First Owner,1496.0,Manual,120.69,FWD,15.9,12.52,9.0,28.12,Automatic Climate Control | Parking Sensors,8.6
3,2,1,Vento,2012,13,Expired,Diesel,5,155000,Banswara,First Owner,1598.0,Manual,103.6,Unknown,20.54,12.73,1.85,85.47,Automatic Climate Control | Rear AC Vents | Parking Sensors,4.6
2,67,3,Alcazar,2025,0,Expired,Diesel,7,1000,Unknown,First Owner,1493.0,Manual,114.0,FWD,20.4,19.03,18.0,5.41,Height Adjustable Driver Seat | Automatic Climate Control | Cruise Control,10.0
2,68,3,Venue,2023,2,Third Party,Petrol,5,4200,Bharuch,First Owner,1197.0,Manual,,Unknown,,11.08,8.99,18.86,No_Features,10.0
13,1705,3,Q2,2022,3,Expired,Petrol,5,40000,Jodhpur,First Owner,1984.0,Automatic,,Unknown,,47.76,30.0,37.19,No_Features,9.2
9,43,3,Ecosport,2017,8,Third Party,Diesel,5,85000,Gandhidham,Second Owner,1498.0,Manual,,Unknown,,11.08,4.4,60.29,No_Features,5.8
2,23,3,Exter,2023,2,Comprehensive,Petrol,5,61000,Ahmedabad,First Owner,1197.0,Manual,,Unknown,,8.6,7.2,16.28,No_Features,9.6
6,29,2,Swift,2011,14,Comprehensive,Petrol,5,49700,New Delhi,First Owner,1298.0,Manual,,Unknown,,4.92,2.55,48.17,No_Features,6.6
6,44,3,Vitara,2021,4,Third Party,Petrol,5,78000,Banaskantha,First Owner,1462.0,Manual,,Unknown,,8.72,6.99,19.84,No_Features,9.0
2,42,3,Creta,2022,3,Comprehensive,Petrol,5,64000,Narmada,First Owner,1497.0,Manual,,Unknown,,13.19,9.99,24.26,No_Features,8.8
2,1705,2,i10,2011,14,Expired,Petrol,5,100937,Ahmedabad,Second Owner,1197.0,Manual,78.9,Unknown,20.36,5.29,1.5,71.64,Central Locking | Air Conditioner | Digital Odometer,4.8
6,1705,2,Baleno,2021,4,Expired,Petrol,5,32000,Ahmedabad,First Owner,1197.0,Manual,81.8,Unknown,21.01,6.86,5.25,23.47,Android Auto/Apple CarPlay,8.6
2,69,2,EON,2017,8,Expired,Petrol,5,79972,Mehsana,First Owner,814.0,Manual,55.2,Unknown,21.1,4.29,2.8,34.73,Air Conditioner | Digital Odometer,7.6
14,70,3,Hector,2021,4,Comprehensive,Petrol,5,25000,Udaipur,First Owner,1451.0,Manual,,Unknown,,22.22,14.2,36.09,No_Features,8.6
6,1705,2,Baleno,2021,4,Expired,Petrol,5,32500,Ahmedabad,First Owner,1197.0,Manual,81.8,Unknown,21.01,6.86,5.35,22.01,Android Auto/Apple CarPlay,8.6
8,28,1,City,2016,9,Expired,Petrol,5,79000,Gandhinagar,Second Owner,1497.0,Manual,117.3,Unknown,17.8,11.51,4.5,60.9,Automatic Climate Control | Rear AC Vents | Parking Sensors,5.8
5,71,3,KUV,2016,9,Expired,Petrol,6,105000,Vadodara,Second Owner,1198.0,Manual,82.0,FWD,18.15,6.51,1.99,69.43,Cooled Glovebox,5.4
6,44,3,Vitara,2016,9,Expired,Diesel,5,80000,Jalore,First Owner,1248.0,Manual,88.5,FWD,24.3,10.59,8.0,24.46,Automatic Climate Control | Air Purifier | Parking Sensors,7.6
5,72,3,Scorpio,2016,9,Expired,Diesel,7,160000,Banaskantha,First Owner,2523.0,Manual,75.0,RWD,15.4,10.61,6.25,41.09,Rear AC Vents,6.0
12,1705,3,Seltos,2023,2,Comprehensive,Petrol,5,51000,Ahmedabad,First Owner,1497.0,Manual,113.42,2WD,17.0,17.62,14.5,17.71,Height Adjustable Driver Seat | Air Purifier | Automatic Climate Control | Cruise Control | Sunroof,9.6
6,1705,4,XL6,2019,6,Comprehensive,Petrol,6,85700,patan,First Owner,1462.0,Manual,103.2,Unknown,19.01,11.34,8.45,25.49,Touchscreen | Parking Sensors | Automatic Climate Control | Rear AC Vents | Rear Charging Sockets | Rear Seat Armrest | Tumble Fold Seats | Cruise Control,8.2
6,19,2,Swift,2010,15,Expired,Petrol,5,49695,New Delhi,First Owner,1298.0,Manual,85.8,Unknown,17.5,6.48,2.55,60.65,No_Features,5.8
15,73,3,Gurkha,2025,0,Expired,Diesel,7,10000,Gandhinagar,First Owner,2596.0,Manual,138.08,4WD,9.5,21.69,18.75,13.55,Height Adjustable Driver Seat,10.0
