Model_ID,Car_Model
374,King HT
375,K10 VXI
376,C 200
377,Super
378,B6
379,W8 Option
380,1.2 V AT i
381,Power Plus
382,R Stingray
383,M6
384,Luxury Plus
385,Titanium Petrol
386,Cross 1.2L
387,LE (TDI)
388,Creative AMT
389,i10 1.2 Kappa Magna
390,1.5 Executive
391,Plus Select Diesel MT 7
392,Prestige Plus Diesel iMT
393,R ZXI Plus AT
394,Crysta 2.4 GX MT 8S
395,i10 Prime T Plus
396,2.5 VX (Diesel) 8 Seater BS
397,TDI
398,LS (TDI)
399,1.0 TSI
400,1.5
401,Premium Opt
402,LX 4WD Hard Top
403,AX7 7Str
404,XV 110
405,1.6 TDI Ambition Plus
406,VTVT 1.6
407,Terra TDI
408,Prestige 2.0
409,Technology
410,W6 Diesel
411,1.2 Anniversary
412,W4 Diesel
413,3.0 TDI Quattro Premium
414,Titanium 1.5
415,Ambiente 2.0 TDI CR
416,2.5 VX 8
417,SX Plus
418,1.5 Signature (O) 7-Seater Diesel
419,2.5 GX (Diesel) 7 Seater BS
420,1.2 VDI
421,Titanium
422,eLS BS
423,VXi (O)
424,XE
425,Climber 1.0
426,Delta Plus
427,1.2 VTVT
428,XM
429,Twist
430,100 NXT G80 K4 Plus
431,Sports
432,4X2
433,1.5 Ti-VCT
434,XZA Plus 6 Str AT
435,LS (TDI) BS
436,Pure
437,Hatchback 1.3 TCDi LS
438,CNG
439,2.0 Anniversary Edition 4X4 AT
440,1.99 S6
441,VVT ZXI
442,Brezza ZDi Plus
443,Dzire ZXI 1.2 BS
444,Sportz Plus
445,N Line
446,Brezza ZXI Plus
447,Delta CNG
448,220d
449,2.0 TDI
450,LK 2.0 TDI
451,5 Long Range
452,ZDI
453,Class
454,Visia
455,Dzire ZXI Plus
456,Era Plus
457,Exclusive
458,LX Hard Top
459,GLC 43 4MATIC Coupe
460,Cross 1.4L
461,AX7
462,Sport
463,1.8 TSI
464,R LXI LPG
465,Adventure
466,XE Plus Diesel
467,M2
468,Luxury Plus Diesel 7Str
469,2nd Gen S
470,Crysta 2.4 G MT
471,2.0 TDI Quattro Premium
472,Series GT
473,300h
474,VXi Opt Blitz
475,300 T4
476,1.5 TSI GT Plus
477,E 350 d
478,Luxury Plus Turbo DCT
479,Sharp Diesel
480,R VXI BS IV with
481,E250
482,ZX
483,Prestige Plus iMT
484,Titanium Plus
485,35 TDI
486,ZX CVT 2
487,2.4
488,1.0 TSI Ambition AT
489,XT plus
490,Crysta 2.4 ZX MT
491,V2
492,2.5 G1
493,L and K
494,D
495,Aqua Quadrajet BS
496,SX i
497,XZ Plus Diesel
498,Pure 4x2
499,Asta
500,CRDe
501,1.5 TDCi Titanium
502,N Z8L Diesel
503,W10
504,i10 CRDi
505,XZA Plus AT
506,XTA AMT
507,Trend Plus
508,Class 200 d
509,1.5 V MT
510,Dzire LDI
511,VXi Plus Opt AT
512,Series 520d
513,2.0 TDI AT
514,1.5D Titanium
515,Celebration
516,2.5 G (Diesel) 8
517,Momentum D4
518,1.6 VTVT SX
519,5 Seater AC
520,1.0 Topline
521,S AT
522,Zxi Plus
523,Savvy CVT
524,HTX Plus Diesel
525,Premium
526,VLX 2WD 7S
527,K10 LXi
528,SX Turbo
529,LX
530,LX (TDI)
531,U-VA 1.2
532,RXS
533,Aura (ABS)
534,LS
535,RXS 110PS
536,2nd Gen S CVT
537,2.0 R-Dynamic S
538,N Z8L AT
539,N Z8T
540,B6 Inscription
541,Diesel Titanium
542,Brezza ZDi Plus Dual
543,100 mFALCON G80 K4
544,Vitara Alpha Plus Hybrid CVT
545,VX 8
546,S11 4WD
547,DI
548,W8 AMT Diesel
549,3XO AX5
550,Ambition
551,VLX 2WD AIRBAG SE
552,SANDSTORM RXS 85
553,R LX BS
554,DI DX 7
555,Cx
556,3XO AX7
557,W7 AT
558,800 LXi
559,R CNG LXI
560,Smart Plus
561,i10 1.2 CRDi Sportz
562,CRDi
563,Smart Pro
564,LPG D Lite
565,LX Hard Top Diesel
566,100 NXT G80 K2
567,3XO AX5 L Turbo
568,1.5 V
569,Active 1.4 SX Dual
570,7 Seater Standard
571,Series Long Wheelbase 330Li M Sport
572,HTX Plus
573,1.2 Revotron XZA
574,SX Opt Turbo
575,Cross Sigma DDiS 200
576,Asta Opt
577,SX Diesel AT
578,85PS
579,1.5 Ti VCT MT
580,Dzire Ldi
581,Xing GL
582,1.6 E
583,Quadrajet 1.3 75PS
584,EV Exclusive
585,1.4 Longitude Plus
586,2.0 Model S Opt 4x4
587,Neo N10 R
588,VXI MT
589,Fearless
590,1.8 S
591,1.5 Ti VCT MT Trend
592,1.5 D4
593,VXi Plus
594,Buzz
595,2.0 Limited Plus
596,AX5
597,Crysta 2.4 G 7
598,N Z6
599,LX Hard
600,W8 Diesel
601,1.5 TDI Highline Plus
602,SX Plus Turbo
603,S plus Knight
604,xDrive 20d Luxury
605,LX 4WD Convert Top Diesel AT
606,Hybrid Super
607,1.5D Trend
608,RVi
609,R AMT VXI Plus
610,ZXI MT
611,Luxury Plus 6 STR
612,W11 FWD
613,B4
614,1.05 Revotorq XZ
615,E MPI STD
616,N Z8 Carbon Edition
617,4X2 Diesel
618,350d
619,Crysta 2.4 VX
620,2.0 Diesel
621,Inscription D5
622,1.4 Limited
623,V2 DL
624,Storme
625,R VXI CNG
626,Range Rover 3.0
627,N Z8
628,Series 525d Luxury
629,Magna 1.4 CRDi
630,Celebration Edition
631,Hybrid
632,Delta AMT
633,VLS AT 2.2
634,Style 1.8 TSI
635,i10 AT
636,300 T8
637,2.5 G (Diesel) 7
638,GTX Plus Turbo
639,VVT
640,Prestige Diesel
641,2.5 EV (Diesel) PS 8 Seater BS
642,1.5 Turbo Savvy Pro CVT
643,2.0 Limited Opt Diesel
644,Series 520d M
645,N
646,EV Empowered Plus A
647,2.0 TDI AT Style
648,SLE
649,Vitara Zeta
650,S3 7
651,Crysta 2.4 G
652,1.5 Turbo Style
653,Pickup
654,Defender 2.0 110
655,Series 740i M
656,400d AMG
657,VXI CNG
658,Crysta 2.8 GX AT
659,G CVT
660,Turbo
661,1.0L Prestige
662,45 TFSI Technology WO Matrix
663,110PS Diesel RxL
664,Creative Dark
665,1.2 AMT Zeta
666,S Option
667,AX7 Diesel Luxury Pack
668,W9
669,Sharp Diesel MT
670,Discovery Sport LandMark
671,3.0 Litre S Premium
672,i-DTEC V
673,AX7 Diesel
674,1.6 VTVT AT SX
675,2.0 Limited Plus 4X4
676,Cross Alpha
677,Altis D-4D
678,HTX Diesel AT
679,Revotron
680,VTVT Plus
681,1.0 Ecoboost Titanium
682,XZA Plus Dual Tone AT
683,1.0 RXL Opt
684,Magna Optional
685,X AMT ZXI Option
686,Limousine
687,Neo N10 Option
688,XZA Plus Red Dark Diesel AT
689,100 NXT D75
690,XZ Plus S Diesel
691,Petrol Comfortline
692,ROXX AX7L RWD
693,R tour H3
694,XT plus Dark Edition
695,i10 Nios AMT Magna Corp
696,30 TDI Premium
697,GT TSI
698,3XO MX3 Pro
699,DICOR 2.2 EX
700,S4 7
701,Crysta 2.4 G Plus MT
702,1.0 Ecoboost
703,1.2 Delta
704,Adventure Plus
705,1.5 TDCi Titanium Plus BE
706,100 mFALCON D75
707,T
708,Estilo
709,ROXX MX5 RWD
710,i10 1.2 Kappa Sportz Dual
711,N Z4 Diesel
712,XT EX
713,800 VXI Plus
714,AX7 Diesel AT Luxury Pack AWD
715,35 TDI Quattro Premium
716,XL Plus 85
717,GT
718,30
719,Cup Edition
720,Highline
721,2.5 VX (Diesel) 7
722,1.6 SX VTVT
723,W8 Option Diesel
724,xDrive 20d
725,1.2 Zeta
726,Savvy CVT Red
727,1.2P Ambiente
728,Alpha Plus AT
729,1.5 VX i
730,GTX
731,SX Tech
732,35 TDI Quattro
733,Luxury Plus 6STR Diesel
734,1.2 Magna
735,1.5 Revotorq XZA
736,Signature 6Str
737,XZ Plus (O) Dark Edition
738,Camo XT
739,Edge Edition i-VTEC
740,GLS Diesel
741,i-DTEC S
742,V Diesel
743,Active 1.4 SX with
744,AX5 5Str
745,1.5D Titanium Plus
746,Trend
747,2.5 VX (Diesel) 8
748,Altis
749,Dzire VXI AT
750,ZDi Plus
751,TCDi LS 8
752,1.6 SX CRDI (O)
753,XZA Plus Dark Edition AT
754,S7 140
755,Pik Up CBC
756,1.0 Era
757,GTX Plus Turbo iMT
758,Dzire Tour 1.3 S
759,W8 AMT Optional Diesel
760,1.5 GT Plus Chrome
761,CJ 3B
762,XV Premium
763,Sportz 1.2
764,1.2 CVT
765,Petrol EXI
766,B5
767,LDI
768,1.8 V
769,N Z8L Carbon Edition Diesel
770,Hycross ZX
771,RS ZXi
772,1.0 TSI Ambition
773,GTX Plus Diesel AT
774,R AX
775,Ambiente 1.9 TDI
776,i
777,1.5 Petrol Ambiente
778,Active 1.2
779,Freelander 2 HSE
780,200d
781,EV EL Fast
782,1.0 TSI Topline
783,B1-10 seats
784,AT
785,XL 110
786,2.5 G4 Diesel
787,Platinum 7-Seater Diesel
788,2.0 Longitude
789,VX CVT Petrol
790,Dzire Tour 1.2 S STD
791,Platinum (O)
792,1.5 Petrol
793,1.5 Petrol Trend
794,2.0 Model S Opt FWD
795,VLX 2WD
796,i10 1.2 Kappa Sportz Option
797,Luxury Turbo
798,Dzire VDI
799,Transform SX VGT
800,SX Opt Diesel AT
801,E Option
802,ZXI Plus
803,CRDi Prime T
804,1.0 MPI Comfortline
805,1.5 Petrol Trend Plus AT
806,W11 AT
807,1.2 Revotron XZ
808,1.2 V i
809,300 T6
810,6 Pack
811,Titanium Plus 4X4
812,3XO AX5 Diesel
813,1.2L Diesel
814,1.8
815,R AMT VXI
816,1.5 Turbo Sharp pro CVT
817,X AMT ZXI
818,xDrive30d M
819,G
820,AX7L 7Str
821,Model S 4X4 Diesel AT
822,1.6 TDI Ambition
823,1.0 AMT
824,1.2 AMT Delta
825,SX Opt Turbo DCT
826,N Z8L Carbon Edition Diesel AT
827,CRDi 1.6 AT
828,Dzire Vdi
829,K10 VXI AGS
830,Crysta 2.4 G MT 8S
831,1.0 CLIMBER
832,Turbo XV
833,2nd Gen
834,S CVT
835,VX Petrol
836,Estilo LXI
837,xDrive30d DPE
838,HTE
839,GLE 53 Coupe
840,1.0 TSI Highline AT
841,Shine
842,S Opt Turbo
843,Pure Diesel
844,T4
845,Vitara Alpha
846,XMA S AMT
847,Super CVT
848,RXL EASY-R
849,Platinum
850,1.2 Asta Dual
851,1.99
852,Premium Diesel
853,Pure Plus
854,XM Diesel
855,Wizz 1.2
856,Vxi (O)
857,Brezza LDi
858,eLX BS
859,EV XZ Plus Tech LUX LR
860,i10 Nios Corp
861,Petrol TRD
862,4X4
863,Xing XL AT eRLX Euro
864,LX TDI
865,CRDi 1.6 SX
866,T Jet
867,CNG VXI
868,RXZ EASY-R AMT
869,Dzire ZDI
870,Tour S
871,300 Plus P8
872,Creative DT
873,Classic 1.4 Duratorq
874,5 Seater Standard
875,7 Seater
876,Hatchback 1.2 LT
877,i VTEC CVT
878,300 mHAWK100 T8
879,Active SX
880,VTVT 1.4
881,Limited
882,Legender
883,N-Line N8
884,i10 Asta
885,Era Executive
886,ZDi
887,1.5 TDI AT Ambition
888,XTA Plus
889,1.2 S AT i
890,Adventure Plus A
891,1.0 TSI Comfortline
892,Trailhawk
893,Turbo Shine
894,MM ISZ
895,Style Plus 1.8 TSI
896,1.4 EX
897,SX Dual Tone Diesel
898,2.0 Petrol
899,2.0 Model S
900,HTK Diesel
901,1.6 CRDi SX Plus Dual
902,i10 1.2 Kappa Sportz
903,Exquisite 1.5 TDI
904,Freelander 2
905,Plus Sharp Diesel
906,Fearless Plus S DT Diesel
907,Asta Option CVT
908,ZXI Plus AMT
909,Hycross ZX Hybrid
910,1.2 LS
911,XM S
912,Magna Optional 1.4
913,XZ Plus Dark
914,Stile LE 7
915,DICOR 2.2 LX
916,LX 4WD Convert Top Diesel
917,XL D
918,Zeta AMT
919,GT 1.0
920,Asta Option 1.4
921,Logan 1.5
922,3XO
923,HTK Plus AT
924,Adventure AMT Rhythm
925,Range Rover Evoque 2.0 TD4
926,Plus
927,2.5 Z Diesel 7 Seater BS
928,Series 520d Luxury
929,35 TFSI
930,45 TFSI
931,30 TFSI Premium
932,C 200 CGI
933,EV XZ Plus
934,Clubman Cooper
935,Flying Spur
936,E 200
937,M Sport X
938,XZA Plus P Jet Edition AMT
939,200 CGI
940,Series 530i M
941,Series 520i Luxury
942,4X2 AT
943,2.8 4WD MT
944,1.5 Sports Edition
945,XZ Plus Dark Edition Diesel
946,DI - AC BS
947,1.0 RXT AMT
948,D4
949,Elegance 1.8 TSI
950,AT VXi
951,350 CDI Blue
952,Feel
953,Alpha Plus
954,HTX Turbo DCT
955,Sportz IVT
956,AMT ZXI Plus
957,AMT ZXI
958,Altis VL
959,DICOR 2.2 LX 4x2 BS
960,Magna 1.4
961,Style
962,S4
963,Gold
964,Zeta CNG
965,Fe 2WD
966,Plus BlackStorm
967,GS zipDrive - Euro
968,xDrive 30d
969,Plus 1.5 Turbo Savvy Pro CVT 7 Str
970,Neo
971,Dzire Tour 1.2 S
972,2.0 e-VGT 2WD AT
973,S3
974,M2 8Str
975,HTK Plus Turbo iMT
976,ROXX MX5 4WD
977,Plus Non
978,C 63
979,100 mFALCON D75 K4
980,HTX Plus Turbo iMT
981,4X4 Diesel
982,2.5L
983,D5
984,220 CDI
985,Luxury
986,R LXI CNG
987,300 T10
988,85PS Diesel RxL
989,Genus
990,SX Executive Diesel
991,VXi Plus Opt
992,Dzire ZXI AT
993,1.5 V i
994,AT W10
995,XZA
996,1.5 Petrol Titanium Plus AT
997,E 220 CDI
998,1.6 TDI
999,1.2 Ti-VCT
1000,LXI Opt
1001,Aura
1002,Crysta 2.4 G Plus MT 8S
1003,2.8 2WD AT
1004,XTA
1005,1.0 Magna Plus Option
1006,Titanium Plus 4X2
1007,2.5 EV (Diesel) PS 7 Seater BS
1008,Sportz 1.1L
1009,Victa GX 7 Str
1010,LX 4WD Hard Top Diesel AT
1011,G4 4X2 AT
1012,1.5 Diesel Ambiente
1013,1.3 TCDi LT
1014,Crysta 2.7 VX 7
1015,SX Opt IVT
1016,EV Empowered Plus
1017,1.5 Diesel
1018,XL 85
1019,xDrive20d
1020,King ST
1021,i10 Nios Sportz Dual
1022,1.2 Alpha
1023,DDiS
1024,ROXX AX7L 4WD
1025,1.2 CRDi E
1026,Creative
1027,100 mFALCON G80
1028,i10 Nios Sportz Executive
1029,1.3 TCDi LTZ
1030,King Hard
1031,Storme VX Varicor
1032,LTZ
1033,ZXI AMT
1034,Aqua 1.3
1035,HTK Plus Diesel
1036,1.0 TSI Style 4 Airbags
1037,V CVT Diesel
1038,VDi
1039,Series 320d Luxury
1040,W6 1.99
1041,Crysta 2.4 VX 7
1042,2.5 V Diesel
1043,CNG HTR
1044,1.5 Ti VCT AT Titanium
1045,V CVT Petrol
1046,Prime C
1047,K10 LXI
1048,E4
1049,Freelander 2 TD4
1050,VXI Opt AT
1051,Aqua 1.3 Quadrajet
1052,1.5 TDI Active
1053,LX 4WD NON AC
1054,Active
1055,BSIV
1056,VXi BSIII
1057,Smart EX
1058,Fearless Plus DT
1059,2.7
1060,Legender 4x4 AT
1061,XZA Plus DualTone Roof AMT
1062,2.5 VX (Diesel) 7 Seater BS
1063,SX Opt AT
1064,Crysta 2.7 GX AT
1065,Signature
1066,AX5 S 7
1067,1.0 Highline
1068,N Z8L Diesel AT
1069,1.2 VXi
1070,sDrive18i M
1071,TCDi LS 7
1072,Series
1073,W6 Sunroof
1074,SLX
1075,Petrol Asta
1076,V MT
1077,Series GT 620d M
1078,1.4 Asta Dual
1079,Fe 4WD
1080,Altis Diesel
1081,Accomplished Plus
1082,Savvy Turbo AT
1083,VIP Executive
1084,RXS Turbo
1085,45 TDI Quattro
1086,Discovery Sport Dynamic SE
1087,GLA 35 4MATIC
1088,Ambition 2.0 TDI
1089,S 350d
1090,Black Storm 4x4
1091,Alpha Automatic
1092,1.0 TSI Highline
1093,Crysta 2.4 GX 7
1094,Range Rover Sport 3.0 Petrol
1095,Exclusive E 220 d
1096,Range Rover 3.0 Diesel Vogue
1097,Plus Savvy Pro CVT 7
1098,2.5 VX 7 STR
1099,Progressive C
1100,Fearless S DT Diesel
1101,D5 Inscription
1102,1.6 SX Option
1103,Rexton
1104,110PS Diesel RxZ
1105,R CNG LXI Opt
1106,XMS
1107,Turbo XV Premium
1108,800 tour H1
1109,S Petrol
1110,LX Convert Top Diesel
1111,1.6 SX Dual
1112,XZA Plus Kaziranga Edition
1113,Prime T
1114,AC
1115,2nd Gen E
1116,XZA Plus AMT
1117,XZ Plus CNG
1118,Limited Opt AT
1119,Sportz Turbo
1120,3.0 TDI
1121,N Z8L Diesel 4x4 AT
1122,E Petrol
1123,1.0 LT Option Pack w/
1124,1.0 TSI Highline Plus
1125,xDrive20d M
1126,Series 530i M Sport
1127,E 53 4MATIC
1128,Series Long Wheelbase 330Li M Sport First
1129,Coupe Platinum Edition
1130,SE
1131,Exclusive E 200
1132,DOOR Cooper S Carbon
1133,XMA
1134,sDrive20i
1135,ZX Diesel
1136,E 250
1137,Series 330i
1138,LX 2.6
1139,Brezza ZDi Plus AMT Dual
1140,EXi 1.4 TDCi
1141,MAXX 10
1142,C 220 CDI
1143,1.5 Ti VCT AT
1144,V Option
1145,Series 320d
1146,xDrive20d Luxury
1147,1.8 TSI AT Style
1148,K10 LX
1149,SLK
1150,1.0 TSI Matte
1151,G4 4X4 AT
1152,Zeta AT
1153,Creative Plus S
1154,VDi BSIII W/
1155,Plus Remix Limited
1156,1.99 S4
1157,Adventure Edition 85PS
1158,XZ Plus 6 Str
1159,800 LXI Opt
1160,ZXI (O)
1161,HTX Turbo
1162,i10 Nios Sportz Duo
1163,100 NXT G80 K4
1164,1.2 Asta
1165,Plus Sharp Hybrid
1166,MG410W
1167,Zxi with Leather
1168,XZA Plus P
1169,Plus A Option
1170,CNG 5 Seater AC
1171,2.0 Dual VTVT 2WD
1172,R VXI Plus
1173,1.0 TSI Style AT Anniversary Edition
1174,C 250 CDI
1175,1.2 TSI Highline
1176,V2 DLE
1177,XMA AMT
1178,AT W6
1179,1.4 Magna
1180,1.2 Kappa Base
1181,800 Green LXi
1182,RXT Opt
1183,XM plus Diesel
1184,i10 Nios AMT Sportz
1185,Cross Delta DDiS 200
1186,W5
1187,Corporate
1188,Vxi -
1189,W8 Diesel Sunroof
1190,LPG Magna
1191,SX Adventure
1192,XZ Plus LUX
1193,AX5 5Str Diesel
1194,Lx
1195,xDrive40d M
1196,450d
1197,xDrive30d
1198,X-line Turbo
1199,Bold
1200,X-Line S DIesel
1201,Anniversary Edition
1202,Adventure AMT
1203,1.4 Longitude
1204,i20 2018 Diesel Asta
1205,X ZXI
1206,1.6 SX VTVT (O)
1207,Elegance 2.0 TDI
1208,1.0 Ecoboost Titanium Plus
1209,1.5 S i
1210,Titanium Plus Petrol
1211,1.6 CRDi AT S
1212,Diesel Trendline
1213,i-VTEC VX
1214,i-VTEC S
1215,E8
1216,Elegance 1.8
1217,2.6
1218,Class B180
1219,VX CVT
1220,1.2 S
1221,sDrive18d M
1222,R LXI Minor Duo
1223,Std
1224,XZ Plus S Dark
1225,C 220 CDI Elegance
1226,VX Diesel
1227,LT
1228,Aqua 1.4
1229,Turbo CVT XV Premium
1230,D2
1231,100 NXT G80 K6
1232,55
1233,S-Class S580
1234,E350 CDI
1235,45 TFSI Premium Plus
1236,40 TFSI Quattro
1237,sDrive 20d
1238,xDrive
1239,30 TDI quattro Premium
1240,1.4 TSI
1241,1.0 T Option Limited
1242,Fe
1243,Classic 1.6 Duratec
1244,2.2
1245,S6 7
1246,1.2 VTVT E
1247,VXi (O) CNG
1248,Camo XZA Plus
1249,1.5 CRDi
1250,XM S Diesel
1251,100 NXT D75 K2
1252,D-Lite
1253,K10 VXi Plus AT
1254,AX7 Diesel AT Luxury Pack
1255,Series GT 620d Luxury
1256,S CVT Petrol
1257,Zxi AT DT
1258,K10 VXI Plus
1259,Plus Sharp Pro 7
1260,N Z8 Carbon Edition Diesel
1261,Signature Edition Petrol
1262,55 TFSI Quattro
1263,Std BS
